gene_id,gene_name,qualifier,go_id,reference,evidence_code,go_aspect,full_name,synonyms,object_type,date,source
S000000134,MRPL16,located_in,GO:0005739,GO_REF:0000043,IEA,C,Mitochondrial ribosomal protein of the large subunit,YBL038W|YmL47|mitochondrial 54S ribosomal protein YmL47|RML16|uL16m,protein,20210410,UniProt
S000000918,SLX8,involved_in,GO:0016567,GO_REF:0000041,IEA,P,Subunit of Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex,YER116C|SUMO-targeted ubiquitin ligase complex subunit SLX8,protein,20210410,UniProt
S000000164,PRS4,enables,GO:0016301,GO_REF:0000043,IEA,F,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,UniProt
S000000985,FAU1,enables,GO:0030272,GO_REF:0000003,IEA,F,"5,10-methenyltetrahydrofolate synthetase",YER183C|5-formyltetrahydrofolate cyclo-ligase,protein,20210410,UniProt
S000000164,PRS4,enables,GO:0016740,GO_REF:0000043,IEA,F,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,UniProt
S000000164,PRS4,enables,GO:0046872,GO_REF:0000043,IEA,F,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,UniProt
S000000164,PRS4,involved_in,GO:0006015,GO_REF:0000041,IEA,P,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,UniProt
S000000992,YRF1-2,enables,GO:0003676,GO_REF:0000002,IEA,F,Helicase encoded by the Y' element of subtelomeric regions,YER190W|YRF1|Y' element ATP-dependent helicase protein 1 copy 2,protein,20210410,InterPro
S000000992,YRF1-2,enables,GO:0005524,GO_REF:0000002,IEA,F,Helicase encoded by the Y' element of subtelomeric regions,YER190W|YRF1|Y' element ATP-dependent helicase protein 1 copy 2,protein,20210410,InterPro
S000000164,PRS4,involved_in,GO:0009116,GO_REF:0000002,IEA,P,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,InterPro
S000000164,PRS4,involved_in,GO:0009156,GO_REF:0000002,IEA,P,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,InterPro
