assembly_id,annotation_type,species_name,gff3_archive_path,pep_archive_path,cds_archive_path,genome_archive_path,is_reference
yHMPu5000035295_priceomyces_melissophilus_201018,final,Priceomyces melissophilus,y1000p_gff3_files/yHMPu5000035295_priceomyces_melissophilus_201018.final.gff3,y1000p_pep_files/yHMPu5000035295_priceomyces_melissophilus_201018.final.pep,y1000p_cds_files/yHMPu5000035295_priceomyces_melissophilus_201018.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035295_priceomyces_melissophilus_201018.fas.gz,False
yHMPu5000035296_priceomyces_carsonii_160928,final,Priceomyces carsonii,y1000p_gff3_files/yHMPu5000035296_priceomyces_carsonii_160928.final.gff3,y1000p_pep_files/yHMPu5000035296_priceomyces_carsonii_160928.final.pep,y1000p_cds_files/yHMPu5000035296_priceomyces_carsonii_160928.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035296_priceomyces_carsonii_160928.fas.gz,False
yHMPu5000035297_priceomyces_castillae_170307,final,Priceomyces castillae,y1000p_gff3_files/yHMPu5000035297_priceomyces_castillae_170307.final.gff3,y1000p_pep_files/yHMPu5000035297_priceomyces_castillae_170307.final.pep,y1000p_cds_files/yHMPu5000035297_priceomyces_castillae_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035297_priceomyces_castillae_170307.fas.gz,False
yHMPu5000035298_candida_californica_170307,final,Candida californica,y1000p_gff3_files/yHMPu5000035298_candida_californica_170307.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035298_candida_californica_170307.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035298_candida_californica_170307.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035298_candida_californica_170307.haplomerger2.fas.gz,False
yHMPu5000035299_pichia_sp_170307,final,Pichia sp,y1000p_gff3_files/yHMPu5000035299_pichia_sp_170307.final.gff3,y1000p_pep_files/yHMPu5000035299_pichia_sp_170307.final.pep,y1000p_cds_files/yHMPu5000035299_pichia_sp_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035299_pichia_sp_170307.fas.gz,False
yHMPu5000035300_pichia_sp_170307,final,Pichia sp,y1000p_gff3_files/yHMPu5000035300_pichia_sp_170307.final.gff3,y1000p_pep_files/yHMPu5000035300_pichia_sp_170307.final.pep,y1000p_cds_files/yHMPu5000035300_pichia_sp_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035300_pichia_sp_170307.fas.gz,False
yHMPu5000035301_pichia_terricola_170307,final,Pichia terricola,y1000p_gff3_files/yHMPu5000035301_pichia_terricola_170307.final.gff3,y1000p_pep_files/yHMPu5000035301_pichia_terricola_170307.final.pep,y1000p_cds_files/yHMPu5000035301_pichia_terricola_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035301_pichia_terricola_170307.fas.gz,False
yHMPu5000035302_candida_fragi_180604,final,Candida fragi,y1000p_gff3_files/yHMPu5000035302_candida_fragi_180604.final.gff3,y1000p_pep_files/yHMPu5000035302_candida_fragi_180604.final.pep,y1000p_cds_files/yHMPu5000035302_candida_fragi_180604.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035302_candida_fragi_180604.fas.gz,False
yHMPu5000035303_candida_natalensis_201018,final,Candida natalensis,y1000p_gff3_files/yHMPu5000035303_candida_natalensis_201018.final.gff3,y1000p_pep_files/yHMPu5000035303_candida_natalensis_201018.final.pep,y1000p_cds_files/yHMPu5000035303_candida_natalensis_201018.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035303_candida_natalensis_201018.fas.gz,False
yHMPu5000035304_candida_santamariae_180604,final,Candida santamariae,y1000p_gff3_files/yHMPu5000035304_candida_santamariae_180604.final.gff3,y1000p_pep_files/yHMPu5000035304_candida_santamariae_180604.final.pep,y1000p_cds_files/yHMPu5000035304_candida_santamariae_180604.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035304_candida_santamariae_180604.fas.gz,False
yHMPu5000035305_metschnikowia_corniflorae_180604,final,Metschnikowia corniflorae,y1000p_gff3_files/yHMPu5000035305_metschnikowia_corniflorae_180604.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035305_metschnikowia_corniflorae_180604.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035305_metschnikowia_corniflorae_180604.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035305_metschnikowia_corniflorae_180604.haplomerger2.fas.gz,False
yHMPu5000035306_candida_elateridarum_180604,final,Candida elateridarum,y1000p_gff3_files/yHMPu5000035306_candida_elateridarum_180604.final.gff3,y1000p_pep_files/yHMPu5000035306_candida_elateridarum_180604.final.pep,y1000p_cds_files/yHMPu5000035306_candida_elateridarum_180604.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035306_candida_elateridarum_180604.fas.gz,False
